尚未完成的物品：

已经完成的物品
<这些已经完成的需要挨个检查是否真的完美做完了，如果存在问题的，在最后写上存在的问题，如果不存在问题，写上确认完成>
item_zhuqueyi 朱雀翼
item_zuanshi 钻石
item_qinglongdan 青龙胆
item_toushiche 投石车
item_chongche 冲车
item_baicaowan 百草丸
item_huodan 活丹
item_jiasushoutao 加速手套
item_yirenmianzhao 艺人面罩
item_huifuzhihuan 恢复指环
item_fashichangpao 法师长袍
item_zhuzaoyongchui 铸造用锤
item_bishou 匕首
item_tiejian 铁剑
item_tieji 铁戟
item_gangtiezhichui 钢铁之锤
item_yueguangqiang 月光枪
item_tieqiang 铁枪
item_xixuebishou 吸血匕首
item_xuantiebishou 玄铁匕首
item_nailitoukui 耐力头盔
item_shuzhi 树枝
item_yiliaoji 医疗剂
item_jinhuayaoshui 净化药水
item_liliangshoutao 力量手套
item_pixue 皮靴
item_zhilidoupeng 智力斗篷
item_shihuan 饰环
item_liliangzhifu 力量支付
item_daozeiduanjian盗贼短剑
item_yemingzhu 夜明珠
item_dafu 大斧
item_huangzhonggong 黄忠弓
item_shiji ？
item_bingyu 冰玉
item_bingyu2 冰玉2
item_bingyu3 冰玉3
item_lieyu 烈玉
item_lieyu2 烈玉2
item_lieyu3 烈玉3
item_duyu 毒玉
item_huwan 护腕
item_xuanwujia 玄武甲
item_xuefu 血斧
item_xuanwufu 玄武斧
item_xiangxue 翔靴
item_suduzhixue 速度之靴
item_sunzibinfa 孙子兵法
item_tuimodao 退魔刀
item_fengbaozhizhang 风暴之杖
item_foujuequanzhang 否决权杖
item_wushuzhizhang 巫术之杖
item_yinjian 银剑
item_lilianghuwan 力量护腕
item_book_of_strength 力量之书

尚未完成的卷轴：

已经完成的卷轴：
item_recipe_bingyu2 冰玉2卷轴
item_recipe_bingyu3 冰玉3卷轴
item_recipe_lieyu2 烈玉2卷轴
item_recipe_lieyu3 烈玉3卷轴
item_recipe_xuefu 血斧卷轴
item_recipe_xuanwufu 玄武斧卷轴
item_recipe_xiangxue 翔靴卷轴
item_recipe_tuimodao 退魔刀卷轴
item_recipe_fengbaozhizhang 风暴之杖卷轴
item_recipe_wushuzhizhang 巫术之杖卷轴
item_recipe_lilianghuwan 力量护腕卷轴
